state_fips,state_abbr,state_name,block_groups,area_sqkm,hs_septic_count,ms_septic_count,ls_septic_count,rank_ms_count,ms_density_per_sqkm_statewide,rank_ms_density,ms_median_bg_density,ms_median_positive_bg_density,positive_ms_bg_pct,high_density_ms_bg_pct,med_predicted_septic_bg_pct,missing_parcel_bg_pct,homeowner_signal
29,MO,Missouri,5031,180545.101,952918,1033568,1108757,14,5.725,26,0.0,10.252,37.19,11.53,37.19,0.0,Moderate property-specific signal
30,MT,Montana,900,380839.266,269413,280418,291479,39,0.736,46,0.131,3.153,51.22,11.44,51.22,0.11,High modern or localized signal
31,NE,Nebraska,1648,200334.456,342843,353516,367205,34,1.765,37,0.0,4.396,35.44,7.58,35.44,0.0,Moderate property-specific signal
32,NV,Nevada,1963,286373.075,109545,123250,145243,46,0.43,48,0.0,7.625,11.61,3.87,11.82,0.2,"Lower statewide signal, still property-specific"
33,NH,New Hampshire,996,24038.06,249084,280747,314479,38,11.679,10,2.584,21.384,51.51,23.09,51.61,0.2,Very high modern density signal
34,NJ,New Jersey,6593,20132.842,244047,301644,377684,35,14.983,6,0.0,31.674,8.9,5.64,9.09,0.23,High modern or localized signal
35,NM,New Mexico,1614,314920.386,236332,264613,300248,40,0.84,45,0.0,7.178,32.96,10.16,35.69,5.08,Moderate property-specific signal
36,NY,New York,16009,126983.672,1205179,1300573,1405508,7,10.242,15,0.0,15.141,16.87,5.32,17.57,0.33,High modern or localized signal
37,NC,North Carolina,7092,128595.252,1685409,1919660,2141155,2,14.928,7,0.0,25.506,45.09,22.97,45.32,0.78,Very high modern density signal
38,ND,North Dakota,632,183108.562,173624,178806,185080,44,0.977,43,0.0,1.228,47.94,5.22,47.94,0.32,High modern or localized signal
39,OH,Ohio,9467,106859.558,1331229,1470026,1625988,4,13.757,8,0.0,20.12,27.37,11.49,27.38,0.01,High modern or localized signal
40,OK,Oklahoma,3374,181036.988,728384,771393,819102,21,4.261,30,0.0,12.223,40.31,12.36,40.31,0.0,Moderate property-specific signal
41,OR,Oregon,2963,251336.383,398758,421809,467174,29,1.678,39,0.0,10.061,27.24,7.09,27.27,0.0,Moderate property-specific signal
42,PA,Pennsylvania,10172,117340.181,1391046,1543260,1695562,3,13.152,9,0.0,21.706,27.95,12.56,27.98,0.11,High modern or localized signal
44,RI,Rhode Island,791,2844.99,40221,55386,74545,48,19.468,2,0.0,38.149,11.5,8.72,12.14,0.88,High modern or localized signal
45,SC,South Carolina,3407,80584.174,793989,904483,1009987,18,11.224,12,0.0,18.112,46.7,18.84,46.99,0.79,High modern or localized signal
46,SD,South Dakota,694,199728.445,221650,227828,233388,41,1.141,42,0.353,3.012,54.03,8.5,55.76,2.02,High modern or localized signal
47,TN,Tennessee,4562,109112.434,1131108,1243491,1370660,8,11.396,11,0.0,18.272,42.79,16.57,42.83,0.31,High modern or localized signal
48,TX,Texas,18627,687707.405,2312469,2563936,2867821,1,3.728,34,0.0,15.142,21.81,8.18,21.83,0.04,High modern or localized signal
49,UT,Utah,2020,219889.293,174909,198702,221769,43,0.904,44,0.0,8.008,17.18,4.75,17.38,1.39,"Lower statewide signal, still property-specific"
50,VT,Vermont,552,24902.884,196016,203162,209151,42,8.158,21,6.591,10.012,70.83,12.14,70.83,0.91,High modern or localized signal
51,VA,Virginia,5955,104841.399,1010505,1078392,1148048,13,10.286,14,0.0,14.867,30.5,9.44,30.76,0.92,High modern or localized signal
53,WA,Washington,5307,175434.107,581658,659151,739243,25,3.757,33,0.0,20.731,22.03,10.14,22.23,0.43,"Lower statewide signal, still property-specific"
54,WV,West Virginia,1639,62755.532,530610,557298,595959,26,8.88,19,5.642,13.415,61.62,18.3,61.62,0.0,High modern or localized signal
55,WI,Wisconsin,4678,145342.611,1021072,1098433,1177611,12,7.558,23,0.0,11.539,38.39,11.29,38.41,0.13,Moderate property-specific signal
56,WY,Wyoming,457,253324.959,127089,133212,138681,45,0.526,47,0.0,2.808,48.8,10.5,49.02,1.75,High modern or localized signal
